Flight Number,Departure,Arrival,Aircraft,Flight Time,Airline
AA1575,KEWR,KCLT,"B738, A321, A320, B38M",01:45,American Airlines
AA5751,KPHF,KCLT,CRJ7,01:10,American Airlines
AA1105,KORF,KCLT,"A320, B38M",01:25,American Airlines
AA5419,MYEH,KCLT,CRJ9,02:20,American Airlines
AA768,KOAK,KCLT,A320,02:50,American Airlines
AA1626,KOKC,KCLT,"A321, A320",02:50,American Airlines
AA1042,KOMA,KCLT,B738,02:00,American Airlines
AA2103,KONT,KCLT,A321,04:20,American Airlines
AA5311,KMLB,KCLT,CRJ9,01:10,American Airlines
AA461,KMCO,KCLT,A321,01:05,American Airlines
AA1216,KPBI,KCLT,B738,01:55,American Airlines
AA418,KPSP,KCLT,A321,04:00,American Airlines
AA1029,KECP,KCLT,"E175, A319",01:05,American Airlines
AA2325,KPNS,KCLT,A319,01:10,American Airlines
AA5193,KPIA,KCLT,CRJ9,01:25,American Airlines
AA341,KPHL,KCLT,"A320, A321",01:05,American Airlines
AA310,KPHX,KCLT,"A321, B38M",03:40,American Airlines
AA312,KPIT,KCLT,A321,01:00,American Airlines
AA1849,KPDX,KCLT,A321,05:30,American Airlines
AA2981,KPWM,KCLT,A321,01:45,American Airlines
AA1254,KPVD,KCLT,"A319, A321",01:30,American Airlines
AA879,MBPV,KCLT,A321,02:20,American Airlines
AA512,MDPP,KCLT,B738,02:40,American Airlines
AA1375,MDPC,KCLT,B738,02:55,American Airlines
AA5223,CYQB,KCLT,CRJ9,02:05,American Airlines
AA580,KRDU,KCLT,B738,01:00,American Airlines
AA549,KRIC,KCLT,"A321, B738, B38M",00:50,American Airlines
AA5708,KROA,KCLT,CRJ7,00:40,American Airlines
AA1058,KROC,KCLT,A319,01:55,American Airlines
AA388,KSMF,KCLT,A321,04:40,American Airlines
AA3073,TVSA,KCLT,B738,04:20,American Airlines
AA5878,KSBY,KCLT,CRJ200,01:20,American Airlines
AA508,KSLC,KCLT,A321,03:30,American Airlines
AA563,KSAT,KCLT,"A319, A321",02:20,American Airlines
AA582,KSAN,KCLT,A321,04:20,American Airlines
AA429,KSFO,KCLT,A321,04:45,American Airlines
AA1209,MROC,KCLT,B38M,04:20,American Airlines
AA2676,MMSD,KCLT,B738,04:00,American Airlines
AA783,TJSJ,KCLT,A321,03:05,American Airlines
AA2961,KSNA,KCLT,B38M,04:20,American Airlines
AA1443,KSRQ,KCLT,A319,01:45,American Airlines
AA776,KSAV,KCLT,A319,00:45,American Airlines
AA867,KAVP,KCLT,"A319, A320, CRJ9",01:10,American Airlines
AA381,KSEA,KCLT,A321,05:45,American Airlines
AA5262,KSHV,KCLT,CRJ9,02:35,American Airlines
AA2478,TNCM,KCLT,A319,03:25,American Airlines
AA5104,KSBN,KCLT,CRJ9,01:45,American Airlines
AA2657,KGEG,KCLT,A321,04:30,American Airlines
AA4083,KSGF,KCLT,E175,01:45,American Airlines
AA2502,TISX,KCLT,B738,03:20,American Airlines
AA2442,TKPK,KCLT,A319,04:05,American Airlines
AA712,KSTL,KCLT,A319,02:05,American Airlines
AA823,TLPL,KCLT,A319,04:00,American Airlines
AA1195,TIST,KCLT,A319,03:15,American Airlines
AA530,KSYR,KCLT,A320,01:20,American Airlines
AA5529,KTLH,KCLT,CRJ9,01:05,American Airlines
AA436,KTPA,KCLT,A321,01:10,American Airlines
AA5020,CYYZ,KCLT,CRJ9,01:20,American Airlines
AA1351,KTUL,KCLT,B738,02:35,American Airlines
AA1817,CYVR,KCLT,A321,05:20,American Airlines
AA5256,KIAD,KCLT,A319,01:20,American Airlines
AA365,KDCA,KCLT,"A319, B38M",01:40,American Airlines
